EvaluaterStudentID,TargetStudentID,CourseProjectID,Score,Date
335,328,12,3,2026-05-14
335,66,12,3,2026-05-19
335,34,12,4,2026-05-17
93,114,12,4,2026-05-19
169,204,12,4,2026-05-18
169,43,12,4,2026-05-15
210,197,13,4,2026-05-16
210,330,13,2,2026-05-18
233,216,13,3,2026-05-15
233,271,13,4,2026-05-15
233,237,13,5,2026-05-17
363,198,13,4,2026-05-17
96,77,12,5,2026-05-17
96,363,12,4,2026-05-16
5,327,7,3,2026-05-14
5,161,7,4,2026-05-18
230,156,12,2,2026-05-18
265,275,13,3,2026-05-15
265,211,13,3,2026-05-16
265,333,13,3,2026-05-14
327,244,16,5,2026-05-24
200,249,14,5,2026-05-23
262,319,8,4,2026-05-20
229,264,13,4,2026-05-15
229,219,13,2,2026-05-15
315,221,13,5,2026-05-17
315,302,13,2,2026-05-18
315,353,13,4,2026-05-15
27,343,12,4,2026-05-17
27,30,12,3,2026-05-18
271,216,13,3,2026-05-16
271,326,13,3,2026-05-13
6,290,12,1,2026-05-18
6,310,12,3,2026-05-16
6,24,12,4,2026-05-16
213,264,12,1,2026-05-16
213,370,12,1,2026-05-15
291,239,13,3,2026-05-18
53,38,12,4,2026-05-16
53,247,12,3,2026-05-18
53,23,12,2,2026-05-18
113,69,1,3,2026-05-20
32,349,12,3,2026-05-15
69,29,12,4,2026-05-16
69,257,12,4,2026-05-17
19,344,12,5,2026-05-19
19,361,12,2,2026-05-17
207,304,12,3,2026-05-14
181,268,12,3,2026-05-16
181,37,12,4,2026-05-15
75,72,12,5,2026-05-16
75,221,12,4,2026-05-17
17,311,12,1,2026-05-19
17,141,12,4,2026-05-17
314,229,13,4,2026-05-18
314,222,13,3,2026-05-14
196,234,12,3,2026-05-14
196,22,12,5,2026-05-14
132,90,12,3,2026-05-14
126,299,12,5,2026-05-17
126,318,12,3,2026-05-15
126,366,12,3,2026-05-19
219,229,13,3,2026-05-16
348,334,13,1,2026-05-13
348,231,13,3,2026-05-18
348,368,13,3,2026-05-14
224,68,12,3,2026-05-15
340,379,13,1,2026-05-18
340,261,13,4,2026-05-13
340,358,13,3,2026-05-15
311,203,16,3,2026-05-23
115,99,12,5,2026-05-14
122,132,12,4,2026-05-18
204,245,13,1,2026-05-14
381,344,18,4,2026-05-23
203,378,16,3,2026-05-23
203,379,16,5,2026-05-28
203,311,16,4,2026-05-25
197,277,13,1,2026-05-14
197,210,13,4,2026-05-17
197,228,13,3,2026-05-16
275,333,13,2,2026-05-16
275,256,13,4,2026-05-14
275,265,13,5,2026-05-13
320,301,13,3,2026-05-17
102,372,12,4,2026-05-19
102,98,12,4,2026-05-19
102,261,12,4,2026-05-15
29,257,12,4,2026-05-17
29,358,12,3,2026-05-18
190,217,12,5,2026-05-16
190,288,12,3,2026-05-15
190,91,12,4,2026-05-18
194,71,12,4,2026-05-18
194,51,12,4,2026-05-18
298,336,13,5,2026-05-17
298,289,13,3,2026-05-16
298,238,13,1,2026-05-13
177,209,12,3,2026-05-14
177,267,12,1,2026-05-14
290,353,14,4,2026-05-26
290,280,14,3,2026-05-24
359,305,13,3,2026-05-15
250,248,13,5,2026-05-15
250,341,13,3,2026-05-18
68,33,12,4,2026-05-18
228,279,14,2,2026-05-21
11,133,12,4,2026-05-19
11,276,12,2,2026-05-19
123,268,12,2,2026-05-17
171,123,10,4,2026-05-24
171,181,10,3,2026-05-23
171,317,10,1,2026-05-24
55,51,12,4,2026-05-19
63,84,12,4,2026-05-16
63,119,12,4,2026-05-17
133,95,12,3,2026-05-14
239,294,13,4,2026-05-13
239,200,13,4,2026-05-14
77,134,12,4,2026-05-17
77,317,12,3,2026-05-17
77,96,12,5,2026-05-19
195,78,12,4,2026-05-19
195,231,12,3,2026-05-14
195,312,12,3,2026-05-18
185,146,12,4,2026-05-16
100,178,12,4,2026-05-16
248,214,13,5,2026-05-16
248,347,13,2,2026-05-18
248,250,13,4,2026-05-17
134,77,12,4,2026-05-16
134,96,12,3,2026-05-17
52,377,12,5,2026-05-15
52,192,12,3,2026-05-18
52,323,12,3,2026-05-15
351,342,13,5,2026-05-15
73,379,12,4,2026-05-17
157,189,12,4,2026-05-17
264,222,13,4,2026-05-15
264,219,13,5,2026-05-18
264,314,13,4,2026-05-16
95,276,12,3,2026-05-17
160,273,12,4,2026-05-18
373,296,13,3,2026-05-15
231,368,13,4,2026-05-13
152,86,12,5,2026-05-14
152,256,12,4,2026-05-19
152,296,12,3,2026-05-18
79,208,12,3,2026-05-14
79,149,12,4,2026-05-15
184,89,12,4,2026-05-16
184,227,12,3,2026-05-15
221,315,13,3,2026-05-14
333,265,13,5,2026-05-15
333,256,13,3,2026-05-18
40,20,12,3,2026-05-17
124,368,12,3,2026-05-18
12,186,12,4,2026-05-15
12,47,12,5,2026-05-17
374,278,12,3,2026-05-16
374,349,12,3,2026-05-15
374,32,12,3,2026-05-19
67,319,10,3,2026-05-26
67,76,10,5,2026-05-26
1,225,1,4,2026-05-20
214,248,13,3,2026-05-16
138,284,12,3,2026-05-14
138,300,12,4,2026-05-16
281,298,13,5,2026-05-13
281,336,13,4,2026-05-16
225,361,13,5,2026-05-17
225,351,13,4,2026-05-14
225,344,13,2,2026-05-13
266,225,1,3,2026-05-19
266,214,1,4,2026-05-19
43,150,12,4,2026-05-19
308,251,13,4,2026-05-15
65,330,12,3,2026-05-18
65,249,12,4,2026-05-15
109,357,12,3,2026-05-18
187,238,12,1,2026-05-16
58,327,12,4,2026-05-15
48,293,12,4,2026-05-17
215,211,13,2,2026-05-17
215,333,13,3,2026-05-15
117,79,12,2,2026-05-18
117,208,12,5,2026-05-15
254,313,16,4,2026-05-26
364,255,13,2,2026-05-17
226,304,13,5,2026-05-14
104,167,12,1,2026-05-16
104,295,12,3,2026-05-17
64,187,12,3,2026-05-14
64,83,12,4,2026-05-16
284,319,13,3,2026-05-14
284,246,13,4,2026-05-13
284,292,13,1,2026-05-15
112,172,12,4,2026-05-15
94,60,12,4,2026-05-17
94,298,12,5,2026-05-14
94,92,12,5,2026-05-14
137,54,12,3,2026-05-15
66,34,12,1,2026-05-15
66,328,12,2,2026-05-17
329,379,16,3,2026-05-25
329,311,16,3,2026-05-25
278,349,12,3,2026-05-19
278,32,12,2,2026-05-18
355,365,13,3,2026-05-18
15,207,10,4,2026-05-28
241,304,12,4,2026-05-16
241,207,12,4,2026-05-15
270,325,13,3,2026-05-15
125,80,10,4,2026-05-23
125,355,10,3,2026-05-23
125,376,10,3,2026-05-27
78,219,12,4,2026-05-18
78,231,12,3,2026-05-18
78,312,12,4,2026-05-18
129,233,12,3,2026-05-14
129,146,12,3,2026-05-18
129,185,12,4,2026-05-15
182,305,12,5,2026-05-17
182,283,12,4,2026-05-16
317,269,13,3,2026-05-17
317,343,13,4,2026-05-14
317,274,13,3,2026-05-14
382,101,12,3,2026-05-17
382,282,12,2,2026-05-19
83,64,12,4,2026-05-18
83,187,12,2,2026-05-16
287,359,13,3,2026-05-13
372,219,13,4,2026-05-15
105,297,12,3,2026-05-14
105,218,12,1,2026-05-15
297,208,13,2,2026-05-13
297,291,13,4,2026-05-13
297,294,13,3,2026-05-17
273,361,13,4,2026-05-16
101,99,12,4,2026-05-17
149,201,12,5,2026-05-19
154,273,1,4,2026-05-19
82,364,12,3,2026-05-17
82,319,12,5,2026-05-18
201,208,12,3,2026-05-14
305,308,13,4,2026-05-17
97,160,12,3,2026-05-15
97,380,12,5,2026-05-14
30,135,12,2,2026-05-19
60,298,12,3,2026-05-15
60,143,12,5,2026-05-16
33,68,12,4,2026-05-19
71,162,12,3,2026-05-14
280,290,14,3,2026-05-26
280,294,14,1,2026-05-26
268,375,13,3,2026-05-13
268,227,13,2,2026-05-16
116,153,12,5,2026-05-14
116,31,12,3,2026-05-19
263,338,13,3,2026-05-14
263,366,13,3,2026-05-13
331,10,12,4,2026-05-15
46,160,12,3,2026-05-19
46,380,12,5,2026-05-15
255,226,13,4,2026-05-15
208,353,16,1,2026-05-25
49,371,12,5,2026-05-14
49,353,12,3,2026-05-18
227,199,13,3,2026-05-15
227,375,13,3,2026-05-14
7,208,1,4,2026-05-17
306,204,13,3,2026-05-15
306,367,13,5,2026-05-18
306,245,13,2,2026-05-16
131,248,12,2,2026-05-14
150,204,12,3,2026-05-19
246,362,13,5,2026-05-17
246,328,13,4,2026-05-14
246,284,13,4,2026-05-13
143,298,12,3,2026-05-17
143,60,12,1,2026-05-19
143,94,12,4,2026-05-14
295,212,12,3,2026-05-15
295,104,12,4,2026-05-15
295,70,12,4,2026-05-17
56,289,12,3,2026-05-18
56,339,12,3,2026-05-16
56,274,12,3,2026-05-16
240,345,13,4,2026-05-13
240,252,13,4,2026-05-15
283,380,13,4,2026-05-16
283,202,13,5,2026-05-15
342,225,13,3,2026-05-18
342,361,13,4,2026-05-14
354,279,13,5,2026-05-13
354,252,13,5,2026-05-17
375,205,13,3,2026-05-18
375,199,13,3,2026-05-17
375,227,13,4,2026-05-17
9,29,12,4,2026-05-16
9,358,12,3,2026-05-19
9,69,12,3,2026-05-18
209,228,12,4,2026-05-14
301,247,13,4,2026-05-13
301,288,13,4,2026-05-16
161,102,12,2,2026-05-15
161,98,12,5,2026-05-19
161,372,12,4,2026-05-15
319,362,13,5,2026-05-18
319,284,13,5,2026-05-13
34,66,12,5,2026-05-18
34,328,12,3,2026-05-18
25,255,12,3,2026-05-17
232,253,13,4,2026-05-18
232,355,13,2,2026-05-13
232,307,13,5,2026-05-18
344,249,18,4,2026-05-21
57,156,12,3,2026-05-17
178,61,12,4,2026-05-16
321,357,13,4,2026-05-17
155,216,12,3,2026-05-19
155,58,12,4,2026-05-19
88,252,12,3,2026-05-15
88,41,12,2,2026-05-14
88,313,12,5,2026-05-19
103,246,12,3,2026-05-19
103,13,12,4,2026-05-17
45,299,12,3,2026-05-17
45,126,12,3,2026-05-15
136,41,12,4,2026-05-17
136,313,12,3,2026-05-14
368,231,13,4,2026-05-16
294,290,14,5,2026-05-26
294,379,14,3,2026-05-26
380,327,13,4,2026-05-14
313,254,16,3,2026-05-24
61,178,12,1,2026-05-16
61,292,12,4,2026-05-14
217,237,13,3,2026-05-14
217,271,13,4,2026-05-14
309,313,16,3,2026-05-25
277,311,13,4,2026-05-15
21,190,10,3,2026-05-27
21,340,10,4,2026-05-24
21,241,10,3,2026-05-27
257,358,12,3,2026-05-18
257,29,12,4,2026-05-18
153,346,12,3,2026-05-16
269,317,13,3,2026-05-14
269,212,13,3,2026-05-13
282,327,13,3,2026-05-15
282,202,13,5,2026-05-16
282,332,13,3,2026-05-16
156,230,12,4,2026-05-18
156,277,12,3,2026-05-14
349,296,13,5,2026-05-18
349,373,13,4,2026-05-14
18,68,12,3,2026-05-14
142,323,12,3,2026-05-17
142,52,12,5,2026-05-14
39,245,12,2,2026-05-16
39,229,12,4,2026-05-18
118,235,12,5,2026-05-17
193,279,12,4,2026-05-14
193,255,12,4,2026-05-18
193,232,12,3,2026-05-14
89,227,12,4,2026-05-15
89,184,12,5,2026-05-18
353,235,17,3,2026-05-16
28,193,1,4,2026-05-16
128,180,12,5,2026-05-19
251,287,13,4,2026-05-15
251,305,13,2,2026-05-13
8,184,12,4,2026-05-15
8,89,12,4,2026-05-15
8,199,12,4,2026-05-18
167,104,12,4,2026-05-19
167,212,12,5,2026-05-19
167,295,12,2,2026-05-19
84,63,12,4,2026-05-19
42,202,12,3,2026-05-16
151,124,12,4,2026-05-15
267,371,13,4,2026-05-17
267,280,13,4,2026-05-18
176,42,12,4,2026-05-18
176,164,12,2,2026-05-18
176,120,12,3,2026-05-17
127,122,12,4,2026-05-18
243,111,12,3,2026-05-16
243,137,12,1,2026-05-17
192,52,12,4,2026-05-15
192,377,12,4,2026-05-17
337,254,16,3,2026-05-25
337,309,16,3,2026-05-27
337,244,16,4,2026-05-27
249,344,18,5,2026-05-22
347,248,13,4,2026-05-13
371,313,14,4,2026-05-26
371,279,14,5,2026-05-26
371,228,14,3,2026-05-26
121,31,12,5,2026-05-15
121,153,12,1,2026-05-18
121,346,12,4,2026-05-14
299,252,13,5,2026-05-13
299,279,13,4,2026-05-13
245,306,13,3,2026-05-16
245,367,13,4,2026-05-16
365,232,13,3,2026-05-16
272,356,13,3,2026-05-15
272,198,13,3,2026-05-17
37,268,12,2,2026-05-14
37,123,12,4,2026-05-19
37,181,12,4,2026-05-15
62,93,12,1,2026-05-14
336,238,13,4,2026-05-17
336,298,13,3,2026-05-18
253,307,13,3,2026-05-17
253,355,13,5,2026-05-13
253,232,13,3,2026-05-18
22,381,12,4,2026-05-16
289,298,13,4,2026-05-14
289,238,13,2,2026-05-16
370,255,13,5,2026-05-18
370,259,13,2,2026-05-13
330,228,13,2,2026-05-14
330,197,13,3,2026-05-15
202,332,13,4,2026-05-18
202,283,13,4,2026-05-16
202,282,13,5,2026-05-16
47,12,12,4,2026-05-15
47,286,12,2,2026-05-16
47,186,12,3,2026-05-18
91,217,12,3,2026-05-14
276,133,12,3,2026-05-15
276,95,12,3,2026-05-14
256,211,13,5,2026-05-13
180,306,12,4,2026-05-19
175,133,12,3,2026-05-17
175,276,12,3,2026-05-14
175,95,12,4,2026-05-15
328,362,13,4,2026-05-14
328,284,13,3,2026-05-16
170,379,12,4,2026-05-16
379,208,16,1,2026-05-23
379,378,16,3,2026-05-28
74,268,12,4,2026-05-19
74,123,12,5,2026-05-16
316,319,12,2,2026-05-19
302,339,13,3,2026-05-18
307,253,13,1,2026-05-13
307,365,13,2,2026-05-13
307,232,13,5,2026-05-15
168,375,12,3,2026-05-18
168,315,12,3,2026-05-19
168,307,12,4,2026-05-18
51,194,12,5,2026-05-19
51,162,12,4,2026-05-15
51,55,12,4,2026-05-14
376,35,12,3,2026-05-14
242,108,1,3,2026-05-18
242,24,1,4,2026-05-18
108,352,12,4,2026-05-15
24,6,12,2,2026-05-17
120,202,12,4,2026-05-16
120,42,12,3,2026-05-14
