Id,StudentId,TeamId,CourseProjectId,TaskId,TrackId,Status,AssignedAt
1,112,1,1,20,3,1,5/9/2026
2,110,1,1,7,3,1,5/4/2026
3,380,1,1,15,3,1,5/12/2026
4,178,1,1,21,3,1,5/7/2026
5,49,1,1,2,3,1,5/13/2026
6,208,1,1,4,3,1,5/3/2026
7,112,1,1,14,4,1,5/8/2026
8,110,1,1,8,3,1,5/12/2026
9,380,1,1,9,4,1,5/5/2026
10,178,1,1,11,3,1,5/9/2026
11,49,1,1,5,3,1,5/11/2026
12,208,1,1,7,4,1,5/6/2026
13,112,1,1,20,4,1,5/12/2026
14,110,1,1,6,3,1,5/14/2026
15,380,1,1,12,3,1,5/4/2026
16,178,1,1,10,3,1,5/9/2026
17,49,1,1,9,3,1,5/11/2026
18,208,1,1,5,4,1,5/4/2026
19,112,1,1,17,4,1,5/2/2026
20,110,1,1,21,4,1,5/6/2026
21,380,1,1,6,4,1,5/2/2026
22,178,1,1,8,4,1,5/12/2026
23,49,1,1,13,4,1,5/7/2026
24,208,1,1,15,4,1,5/10/2026
25,112,1,1,22,4,1,5/5/2026
26,110,1,1,3,3,1,5/7/2026
27,380,1,1,2,4,1,5/13/2026
28,178,1,1,10,4,1,5/6/2026
29,49,1,1,16,3,1,5/6/2026
30,208,1,1,16,4,1,5/12/2026
31,112,1,1,4,4,1,5/4/2026
32,110,1,1,3,4,1,5/6/2026
33,380,1,1,12,4,1,5/8/2026
34,178,1,1,14,3,1,5/2/2026
35,49,1,1,22,3,1,5/13/2026
36,208,1,1,18,4,1,5/11/2026
37,112,1,1,1,1,1,5/12/2026
38,110,1,1,19,3,1,5/14/2026
39,380,1,1,18,3,1,5/9/2026
40,178,1,1,17,3,1,5/14/2026
41,49,1,1,13,3,1,5/12/2026
42,208,1,1,19,4,1,5/11/2026
43,112,1,1,23,4,1,5/11/2026
44,110,1,1,23,3,1,5/10/2026
45,380,1,1,11,4,1,5/3/2026
46,220,2,1,9,4,1,5/4/2026
47,319,2,1,16,4,1,5/14/2026
48,265,2,1,1,1,1,5/8/2026
49,80,2,1,11,3,1,5/8/2026
50,75,2,1,21,4,1,5/3/2026
51,313,2,1,13,4,1,5/10/2026
52,220,2,1,19,4,1,5/12/2026
53,319,2,1,7,3,1,5/13/2026
54,265,2,1,6,3,1,5/4/2026
55,80,2,1,20,3,1,5/12/2026
56,75,2,1,8,3,1,5/6/2026
57,313,2,1,15,3,1,5/12/2026
58,220,2,1,10,4,1,5/3/2026
59,319,2,1,3,3,1,5/2/2026
60,265,2,1,23,3,1,5/6/2026
61,80,2,1,12,3,1,5/4/2026
62,75,2,1,10,3,1,5/8/2026
